Name	World	Description	Win	Loss	ID	URL	Owner
Matthew Mayer	Earth	everything	1	0	0	https://d1nnrx9kca53zl.cloudfront.net/images/2021/10/27/BU_MBB_Mayer_Matthew_2022_headshot.jpg?width=275	Cyril
Spider-Ham	New York	Web-slinging super hero	3	3	0	https://static.wikia.nocookie.net/thedailybugle/images/2/2b/Ultimate_Spider_Man_Render.png/revision/latest?cb=20160319202253	Lauren
Lauren	Earth	A person	0	0	0	https://media.istockphoto.com/vectors/user-avatar-profile-icon-black-vector-illustration-vector-id1209654046?k=20&m=1209654046&s=612x612&w=0&h=Atw7VdjWG8KgyST8AXXJdmBkzn0lvgqyWod9vTb2XoE=	ryan
Speed	Earth	Stupid	1	0	0	https://i.ytimg.com/vi/wYZux3BMc5k/maxresdefault.jpg	Cyril
Kim Possible	Disney	Child	0	0	0	https://upload.wikimedia.org/wikipedia/en/2/2b/Kim_Possible_%28character_design%29.png	CyrilPillai
Danny Phantom	Nickelodeon	hot	0	0	0	https://i1.sndcdn.com/artworks-2uGwzhJGGZH4BgGZ-1YKXmw-t500x500.jpg	CyrilPillai
Kirby	DreamLand	Animal that eats a lot	1	6	0	https://static.wikia.nocookie.net/kirby/images/4/4e/KatFL_Kirby_artwork.png/revision/latest?cb=20220130163926&path-prefix=en	Lauren
Thanos	MCU	power	1	0	0	https://i.ytimg.com/vi/N2YTmooNR8E/maxresdefault.jpg	Cyril
Matthew Mayer	Earth	everything	1	0	0	https://d1nnrx9kca53zl.cloudfront.net/images/2021/10/27/BU_MBB_Mayer_Matthew_2022_headshot.jpg?width=275	Cyril
Speed	Earth	Stupid	1	0	0	https://i.ytimg.com/vi/wYZux3BMc5k/maxresdefault.jpg	Cyril
Danny Phantom	Nickelodeon	hot	0	0	0	https://i1.sndcdn.com/artworks-2uGwzhJGGZH4BgGZ-1YKXmw-t500x500.jpg	CyrilPillai
Kirby	DreamLand	Animal that eats a lot	1	6	0	https://static.wikia.nocookie.net/kirby/images/4/4e/KatFL_Kirby_artwork.png/revision/latest?cb=20220130163926&path-prefix=en	Lauren
Matthew Mayer	Earth	everything	1	0	0	https://d1nnrx9kca53zl.cloudfront.net/images/2021/10/27/BU_MBB_Mayer_Matthew_2022_headshot.jpg?width=275	Cyril
Danny Phantom	Nickelodeon	hot	0	0	0	https://i1.sndcdn.com/artworks-2uGwzhJGGZH4BgGZ-1YKXmw-t500x500.jpg	CyrilPillai
